spec_T,Surname,Name,OCC,Diameter,TOF,Launch_date,Min_dv,Duration,Stay
0.8902148008346558,1999 VM40,,0,6.34,150.0,2041-08-15 00:00:00,22.51,448,28
0.4694768190383911,2001 DU8,,0,1.349,200.0,2033-01-29 00:00:00,28.4,398,8
0.9418103694915771,2001 EB,,0,2.11,360.0,2028-01-16 00:00:00,29.36,448,73
0.0602344274520874,2001 WG2,,0,1.306,440.0,2049-04-25 00:00:00,33.06,413,8
0.7535091638565063,1989 UQ,,0,0.918,290.0,2031-09-17 00:00:00,8.14,448,13
0.90574711561203,1992 NA,,0,2.79,290.0,2028-12-21 00:00:00,18.59,443,8
0.9773072600364685,1996 GT,Didymos,0,0.78,440.0,2042-12-28 00:00:00,12.61,383,8
0.573480486869812,1999 KW4,Moshup,0,1.317,230.0,2036-03-14 00:00:00,21.33,438,48
0.90574711561203,1999 XO35,,0,2.63,440.0,2043-01-27 00:00:00,34.49,443,8
0.8706986904144287,1997 SE5,,0,6.4,410.0,2033-03-20 00:00:00,25.51,413,8
0.8124463558197021,1998 UT18,,0,0.939,410.0,2028-05-15 00:00:00,18.04,398,38
0.3480616807937622,1998 XM4,,0,2.028,370.0,2026-03-17 00:00:00,38.3,428,68
0.90574711561203,1999 DJ4,,0,1.05,380.0,2046-08-09 00:00:00,18.66,448,28
0.01292330026626587,1999 FK21,,0,0.59,280.0,2025-03-22 00:00:00,17.78,368,8
0.13542181253433228,1999 JD6,,0,1.462,390.0,2049-07-04 00:00:00,19.78,398,53
0.3010028600692749,1999 JV6,,0,0.451,350.0,2025-11-07 00:00:00,16.16,443,8
0.21770411729812622,1999 NC43,,0,2.22,410.0,2046-04-01 00:00:00,18.68,448,28
0.44938498735427856,1999 WK13,,0,1.348,440.0,2029-06-19 00:00:00,30.71,353,8
0.7262541055679321,2000 CK33,,0,1.2,160.0,2039-10-05 00:00:00,15.82,448,88
0.24248111248016357,2000 GK137,,0,0.802,130.0,2031-04-20 00:00:00,17.61,323,8
0.12146276235580444,2000 GR146,,0,1.823,200.0,2030-02-04 00:00:00,20.39,448,13
0.20032960176467896,2001 VS78,,0,2.038,190.0,2032-06-03 00:00:00,25.22,398,8
0.05918252468109131,1998 XB,,0,0.882,130.0,2048-08-08 00:00:00,13.79,443,38
0.9186697602272034,2001 CC21,,0,1.16,200.0,2047-07-05 00:00:00,6.46,448,28
0.864596962928772,1989 VA,,0,1.4,200.0,2029-11-06 00:00:00,20.61,368,8
0.3013346195220947,2004 MN4,Apophis,0,0.34,340.0,2028-05-05 00:00:00,5.35,343,28
0.90574711561203,1998 FM5,,0,3.12,120.0,2038-10-20 00:00:00,20.0,338,8
0.5879438519477844,1998 MQ,,0,1.174,440.0,2029-08-08 00:00:00,24.39,448,28
0.6461133360862732,1999 RQ36,Bennu,0,0.492,130.0,2036-03-14 00:00:00,7.09,368,8
0.9359132647514343,1977 VA,,0,0.4,190.0,2033-05-29 00:00:00,14.74,428,8
0.8902148008346558,1995 WL8,,0,1.38,130.0,2035-08-17 00:00:00,25.04,443,23
0.8762379884719849,1997 AQ18,,0,1.21,160.0,2034-10-01 00:00:00,16.56,448,43
0.9515807032585144,1997 BQ,,0,1.3,250.0,2026-12-12 00:00:00,16.86,338,8
0.8959631323814392,1998 ST49,,0,1.55,240.0,2040-02-02 00:00:00,24.46,433,28
0.7275960445404053,1998 VO33,Tjelvar,0,2.25,220.0,2044-08-29 00:00:00,22.92,448,13
0.41797471046447754,1998 WM,,0,1.265,270.0,2032-11-10 00:00:00,17.74,368,53
0.9614961743354797,1998 WP5,,0,0.93,300.0,2027-04-11 00:00:00,18.05,383,8
0.8564652800559998,1999 CF9,,0,1.4,230.0,2045-09-23 00:00:00,16.76,338,8
0.8523955941200256,1999 FB,,0,1.47,350.0,2039-12-14 00:00:00,16.82,448,13
0.8069531917572021,1999 HF1,,0,6.8,200.0,2036-08-11 00:00:00,22.87,378,18
0.9592667818069458,1999 YB,,0,1.07,240.0,2034-10-31 00:00:00,10.6,443,8
0.06823921203613281,1999 YK5,,0,2.243,340.0,2046-03-22 00:00:00,19.88,338,8
0.7966867089271545,2000 BJ19,,0,3.56,410.0,2034-10-01 00:00:00,27.12,448,13
0.8959631323814392,2000 EZ148,,0,5.79,410.0,2049-10-02 00:00:00,21.45,338,8
0.7861691117286682,2000 GD2,,0,0.84,200.0,2032-03-15 00:00:00,24.23,368,8
0.6982436776161194,2000 GO82,,0,2.52,440.0,2035-03-10 00:00:00,31.71,378,33
0.90574711561203,2000 OJ8,,0,2.54,340.0,2040-02-12 00:00:00,18.4,443,8
0.7804485559463501,2000 YH66,,0,1.35,430.0,2042-12-18 00:00:00,21.27,378,48
0.9861442446708679,2001 AE2,,0,0.78,260.0,2044-12-27 00:00:00,9.64,428,8
0.22328096628189087,2001 FY,,0,0.32,440.0,2045-01-26 00:00:00,16.81,413,8
0.9600441455841064,2001 QQ142,,0,1.17,370.0,2045-01-06 00:00:00,10.55,353,8
0.8729060292243958,2001 XR1,,0,1.86,440.0,2041-01-07 00:00:00,19.78,368,8
0.7356493473052979,2001 XS30,,0,1.61,370.0,2032-08-12 00:00:00,24.37,448,13
0.9447842240333557,1991 BN,,0,0.84,200.0,2027-09-28 00:00:00,11.39,428,8
0.12093323469161987,1992 BF,,0,0.272,260.0,2029-07-19 00:00:00,9.77,388,28
0.19129639863967896,1998 KU2,,0,4.167,390.0,2042-05-02 00:00:00,17.27,353,8
0.9447842240333557,1999 JV3,,0,0.93,420.0,2027-05-01 00:00:00,18.77,373,13
0.0946550965309143,2000 EA107,,0,1.646,280.0,2044-05-11 00:00:00,22.41,363,18
0.6440638303756714,2000 GJ147,,0,0.531,180.0,2039-11-24 00:00:00,16.99,363,33
0.7976282238960266,2000 JG5,,0,1.27,160.0,2045-02-15 00:00:00,30.42,443,8
0.07280105352401733,2000 WO107,,0,0.51,190.0,2040-08-30 00:00:00,18.6,448,28
0.7795657515525818,2002 AD9,,0,2.52,390.0,2032-03-15 00:00:00,32.06,393,33
Other,1978 CA,Cacus,0,1.9,270.0,2040-07-11 00:00:00,16.62,423,33
0.8959631323814392,1994 AB1,Konnohmaru,0,2.73,400.0,2049-12-21 00:00:00,21.73,413,8
0.7615664005279541,1994 TF2,,1,0.81,410.0,2025-09-28 00:00:00,37.76,428,8
0.7823987007141113,1998 VR,,0,0.99,180.0,2043-05-27 00:00:00,16.12,348,33
0.9469115734100342,1999 CV8,,0,0.6,440.0,2028-12-31 00:00:00,14.02,393,48
0.9630048274993896,1999 JU3,Ryugu,0,0.73,160.0,2046-05-11 00:00:00,7.06,383,8
0.7990833520889282,2000 BM19,,0,1.12,240.0,2031-05-10 00:00:00,13.96,353,8
0.8473921418190002,2000 RW37,,0,0.335,310.0,2046-03-12 00:00:00,11.73,353,8
0.8902148008346558,2000 WF6,,1,1.16,440.0,2027-06-30 00:00:00,34.98,353,8
0.8902148008346558,2000 XL44,,0,1.55,440.0,2043-09-04 00:00:00,23.0,428,8
0.7952600717544556,2001 SK162,,0,0.875,330.0,2025-04-11 00:00:00,14.6,428,8
0.9557381272315979,2001 UA5,,0,1.6,250.0,2032-03-25 00:00:00,15.01,423,18
